प्रश्न,विकल्प A,विकल्प B,विकल्प C,विकल्प D,सही उत्तर,Level
'निराकार' और 'निर्विकार' किसे कहा गया है?,अरिहंत को,सिद्ध को,आचार्य को,साधु को,2,Easy
'सब सुखदाता मेरा धाम' - यहाँ 'धाम' क्या है?,मंदिर,घर,शुद्धात्म स्वरूप,तीर्थ,3,Medium
'तृष्णा लोभ बढ़े न हमारा' - यह प्रार्थना किस स्तोत्र में है?,छहढाला,वीतराग सर्वज्ञ हितंकर,देव-शास्त्र-गुरु पूजा,सिद्ध पूजा,2,Easy
'कर्तादिक भेद मिटाऊँ' - यह भावना किस कवि की है?,दौलतराम,'अमर',युगलजी,भागचंद,2,Medium
'सो पावे सुख चैन' - कौन?,जो धन कमाए,जो तेरी (जिनवाणी की) शरणा गहे,जो राजा बने,जो युद्ध जीते,2,Easy
'जग की जड़ता-तप' को कौन दूर करता है?,औषधि,जिनवाणी,धन,मित्र,2,Medium
'आकुलित भयो अज्ञान धारि' - किसकी तरह?,सिंह की तरह,हाथी की तरह,मृग-मृगतृष्णा की तरह,हंस की तरह,3,Medium
'देह अपावन गेह' जानकर क्या करना चाहिए?,देह से स्नेह त्यागना चाहिए,देह को सजाना चाहिए,देह को पूजना चाहिए,देह का पोषण करना चाहिए,1,Medium
'प्रतिकूल संयोगों में क्रोधित होकर' जीव ने क्या किया है?,संसार बढ़ाया है,संसार घटाया है,मोक्ष पाया है,ज्ञान पाया है,1,Medium
'गुरु चारित्र की खानि हैं' - यह कथन किस पद का है?,समयसार जिनदेव हैं...,चिदानन्द स्वातमरसी...,मंत्र जपो नवकार,"महिमा है, अगम...",1,Medium
'शिवरमणी के हृदयहार' - यह विशेषण किसके लिए है?,अरिहंत,सिद्ध,आचार्य,साधु,2,Hard
"'सम्यग्दर्शन प्राप्त करेंगे, सप्त भयों से नहीं डरेंगे' - यह किस कविता की पंक्ति है?",शुद्धातम है मेरा नाम,वीतराग सर्वज्ञ...,अति पुण्य उदय...,द्रव्य रूप करि...,1,Easy
'न्याय मार्ग को लेश न त्यागें' - यह संकल्प किस प्रार्थना में है?,छहढाला,वीतराग सर्वज्ञ हितंकर,देव-शास्त्र-गुरु पूजा,सिद्ध पूजा,2,Medium
'रागादिक दूर भगाऊँ' - यह इच्छा किस कवि की है?,दौलतराम,'अमर',युगलजी,भागचंद,2,Easy
'सूझे लोकालोक' - यह किसके ज्ञान से होता है?,गुरु के,देव के,जिनवाणी के,अपने मन के,3,Medium
'ज्ञान-पयोनिधि' में कौन सी नदी मिली?,गंगा,यमुना,शुचि-शारद गंगनदी (जिनवाणी),सरस्वती,3,Medium
'शशि शांति करन तप हरन हेत' - यह उदाहरण किसलिए दिया गया है?,जिनेन्द्र के स्वाभाविक कुशल देने के स्वभाव को बताने के लिए,चन्द्रमा की शीतलता बताने के लिए,सूर्य का ताप बताने के लिए,औषधि का गुण बताने के लिए,1,Hard
"'निजस्वरूप में लीनता, निश्चय संवर जानि' - यह किस ग्रन्थ की शिक्षा है?",बारह भावना,छहढाला,देव-शास्त्र-गुरु पूजा,सिद्ध पूजा,1,Hard
"'मैं भूल स्वयं के वैभव को, पर-ममता में अटकाया हूँ' - यह किस अर्घ्य का भाव है?",जल,चन्दन,अक्षत,पुष्प,1,Medium
'वीतरागता की पोषक' कौन है?,राग-द्वेष की कथा,जिनवाणी,संसार की कहानी,राजा की आज्ञा,2,Easy
'मेरा स्वभाव है ज्ञानमयी' - यह भेदज्ञान पाकर कवि क्या हुए?,दुःखी,हरषाया (हर्षित हुए),चिंतित,शांत,2,Easy
"'भक्त नहीं, भगवान बनेंगे' - यह पंक्ति क्या दर्शाती है?",अहंकार,निश्चय नय से प्रत्येक आत्मा की परमात्म-शक्ति,भक्ति का तिरस्कार,ईश्वर से स्पर्धा,2,Hard
'ब्रह्मचर्य व्रत रखें सदा' - यह प्रतिज्ञा किस प्रार्थना का अंग है?,छहढाला,वीतराग सर्वज्ञ हितंकर,देव-शास्त्र-गुरु पूजा,सिद्ध पूजा,2,Medium
"'निजपर विवेचक ज्ञानमय, सुखनिधि सुधा नहिं पानकर' - इसमें क्या न करने का दुःख है?",भेद-विज्ञान रूपी अमृत का पान न करने का,भोजन न करने का,जल न पीने का,दान न करने का,1,Hard
'अनुभव बतायवे को' कौन है?,गुरु,देव,जिनवाणी,शास्त्र,3,Medium
'श्रीजिन की धुनि दीपशिखा-सम' - यह उपमा किस स्तुति में है?,वीर-हिमाचल तें निकसी...,मिथ्यातम नाशवे को...,हे जिनवाणी माता...,"महिमा है, अगम...",1,Medium
"'पीवत पीयूष ज्यों रोग जाय, त्यों तुम अनुभवतैं भव नशाय' - यह किस स्तोत्र की पंक्ति है?",छहढाला,देव-शास्त्र-गुरु पूजा,सिद्धचक्र पूजा,बारह भावना,1,Hard
"'बोधि आपका भाव है, निश्चय दुर्लभ नाहिं' - यहाँ 'बोधि' का क्या अर्थ है?",ज्ञान / सम्यग्ज्ञान,शरीर,धन,घर,1,Medium
"'जड़-कर्म घुमाता है मुझको, यह मिथ्या-भ्रांति रही मेरी' - यह किस अर्घ्य का भाव है?",दीप,धूप,फल,अर्घ्य,2,Medium
'चलते फिरते सिद्धों से गुरु' - यह उपमा क्यों दी गई है?,उनकी निर्मल चर्या और आत्म-लीनता के कारण,उनके चलने की गति के कारण,उनके वस्त्रों के कारण,उनकी आयु के कारण,1,Hard
"'तुम पर के कर्त्ता नहीं नाथ, ज्ञाता हो सब के एक साथ' - यह ज्ञान होने को क्या कहते हैं?",सम्यग्ज्ञान,भेदज्ञान,मिथ्याज्ञान,अज्ञान,2,Medium
"शुद्धातम का काम 'मात्र जानना' है, यह किस नय की अपेक्षा से कहा गया है?",व्यवहार नय,निश्चय नय,उपचरित नय,अनुपचारित नय,2,Hard
'सुखद रीति का करें प्रचार' - यह किस प्रार्थना का अंश है?,छहढाला,वीतराग सर्वज्ञ हितंकर,देव-शास्त्र-गुरु पूजा,सिद्ध पूजा,2,Easy
"'धरकर दिगम्बर रूप कब, अठ-बीस गुण पालन करूँ' - यहाँ 'अठ-बीस' का क्या अर्थ है?",28,18,38,82,1,Medium
'छहों द्रव्य जानवे को' कौन सहायक है?,गुरु,देव,जिनवाणी,मित्र,3,Easy
'बहुभंग-तरंगनि' का सम्बन्ध किससे है?,समुद्र से,नदी से,नय-विवक्षा से,हवा से,3,Hard
"'तुम गुण चिन्तत निज-पर-विवेक, प्रगटै' - यह किस स्तुति में कहा गया है?",छहढाला,देव-शास्त्र-गुरु पूजा,सिद्ध पूजा,बारह भावना,1,Medium
'सर्व वस्तु विलसाय' - का क्या अर्थ है?,सभी वस्तुएं नष्ट हो जाती हैं,सभी वस्तुएं अपने-अपने स्वभाव में परिणमित होती हैं,सभी वस्तुएं सुन्दर हैं,सभी वस्तुएं एक जैसी हैं,2,Hard
"'तेरी अंतर लौ से निज, अंतर-दीप जलाने आया हूँ' - यह किस अर्घ्य की पंक्ति है?",जल,चन्दन,नैवेद्य,दीप,4,Easy
'दर्शन दाता देव हैं' - यहाँ 'दर्शन' से क्या अभिप्राय है?,आँखों से देखना,सम्यग्दर्शन,टीवी देखना,घूमना-फिरना,2,Medium
'आशा-तृष्णा से जला हृदय' - यह किस पूजा की पंक्ति है?,देव-शास्त्र-गुरु पूजा,सिद्धचक्र पूजा,शांतिनाथ पूजा,महावीर पूजा,2,Medium
'चिदानंद रस पान करेंगे' - यह संकल्प किस कविता में है?,शुद्धातम है मेरा नाम,वीतराग सर्वज्ञ...,अति पुण्य उदय...,द्रव्य रूप करि...,1,Medium
'मेल मिलाप बढ़ावें हम सब' - यह क्यों आवश्यक है?,धर्मोन्नति के प्रसार के लिए,व्यापार के लिए,लड़ाई के लिए,दिखावे के लिए,1,Medium
'शुभ शास्त्र का नित हो मनन' - इससे क्या लाभ होता है?,'मन दोष वादन तैं भगै',धन मिलता है,नींद आती है,भूख मिटती है,1,Hard
"'हे जिनवाणी भारती, तोहि जपों दिन रैन' - यह दोहा किस स्तुति का है?",वीर-हिमाचल...,मिथ्यातम नाशवे को...,हे जिनवाणी माता...,"महिमा है, अगम...",2,Easy
"'या विधि सन्त कहैं धनि हैं, धनि हैं, जिन-बैन' - क्यों?",क्योंकि वे बड़े उपकारी हैं,क्योंकि वे मीठे हैं,क्योंकि वे कठोर हैं,क्योंकि वे कम हैं,1,Medium
"'पीयूष' पीने से जैसे 'रोग' जाता है, वैसे ही 'तुम अनुभवतैं' क्या नष्ट होता है?",'भव' (संसार),धन,मित्र,शत्रु,1,Hard
"'आतम केवल ज्ञानमय, निश्चय-दृष्टि निहार' - यह किस भावना का चिंतन है?",अनित्य,अशरण,एकत्व/स्वभाव,अशुचि,3,Medium
"'जड़ पर झुक-झुक जाता चेतन, नश्वर वैभव को अपनाया' - यह किस अर्घ्य का भाव है?",जल,चन्दन,अक्षत,पुष्प,3,Medium
'जिनकी चर्या समरससानी' - यह विशेषण किसके लिए है?,देव,शास्त्र,गुरु,श्रावक,3,Medium
'मनवांछित चाहे नित्य भोग' - यह किसकी चाह है?,ज्ञानी की,अज्ञानी की,मुनि की,सिद्ध की,2,Easy
रात्रि भोजन का त्याग किस कविता में वर्णित है?,शुद्धातम है मेरा नाम,वीतराग सर्वज्ञ...,अति पुण्य उदय...,द्रव्य रूप करि...,1,Easy
'अष्ट करम जो दुख हेतु हैं' - यह किस प्रार्थना की पंक्ति है?,छहढाला,वीतराग सर्वज्ञ हितंकर,देव-शास्त्र-गुरु पूजा,सिद्ध पूजा,2,Easy
'दो-बीस परिषह' सहने की बात किस कवि ने कही है?,दौलतराम,'अमर',युगलजी,भागचंद,2,Medium
"'स्व-पर पिछानवे को, परम प्रमानी है' - कौन?",गुरु,देव,जिनवाणी,आत्मा,3,Medium
'मोह-महाचल' को भेदकर कौन चली?,गंगा,यमुना,जिनवाणी रूपी नदी,सरस्वती,3,Medium
'तुमको बिन जाने जो कलेश पायो' - यह किस स्तुति का अंश है?,छहढाला,देव-शास्त्र-गुरु पूजा,सिद्ध पूजा,बारह भावना,1,Medium
'पर द्रव्यन तें प्रीति' का फल क्या है?,चार गति में भ्रमण,मोक्ष,स्वर्ग,केवलज्ञान,1,Medium
'ऋजुता का लेश नहीं' - यह कमी कवि कहाँ बताते हैं?,अपने तन में,अपने मन में,अपने अंतर में,अपने वचन में,3,Hard
'गुरु चारित्र की खानि हैं' - यह किस पद में कहा गया है?,समयसार जिनदेव हैं...,चिदानन्द स्वातमरसी...,मंत्र जपो नवकार,"महिमा है, अगम...",1,Medium
'निरामय' होने का क्या अर्थ है?,रोग रहित होना,माया रहित होना,मान रहित होना,क्रोध रहित होना,1,Medium
'सप्त तत्त्व का ज्ञान' क्यों करना है?,जीवन-अजीव पहिचान करने के लिए,परीक्षा पास करने के लिए,वाद-विवाद के लिए,धन कमाने के लिए,1,Easy
'सुख-दुख में हम समता धारें' - यह प्रार्थना किस स्तोत्र का भाग है?,छहढाला,वीतराग सर्वज्ञ हितंकर,देव-शास्त्र-गुरु पूजा,सिद्ध पूजा,2,Easy
'बंध आस्रव परिहरूँ' - यह इच्छा किस भजन में व्यक्त की गई है?,अति पुण्य उदय मम आया,शुद्धातम है मेरा नाम,ना ये राग होगा...,हे कुंद कुंद आपने...,1,Medium
"'जो तेरी शरणा गहै, सो पावे सुख चैन' - यह किस स्तुति का दोहा है?",वीर-हिमाचल...,मिथ्यातम नाशवे को...,हे जिनवाणी माता...,"महिमा है, अगम...",2,Easy
'अज्ञान-अंधेर' को कौन हरता है?,सूर्य,चन्द्रमा,श्रीजिन की धुनि दीपशिखा-सम,दीपक,3,Medium
'तुम ही निमित्त कारण इलाज' - किसके लिए?,शरीर के रोग के लिए,निज दु:खगद-हरण-काज,गरीबी मिटाने के लिए,शत्रु नाश के लिए,2,Medium
'दर्श-ज्ञानमय चेतना' किसका धर्म है?,शरीर का,कर्म का,आत्मा का,पुद्गल का,3,Medium
'यह झूठी मन की वृत्ति है' - क्या?,पदार्थों का परिणमन,पदार्थों को अनुकूल-प्रतिकूल कहना,आत्मा का अस्तित्व,कर्म का बंध,2,Hard
"'वीतरागता की पोषक ही, जिनवाणी कहलाती है' - यह किस पद का सार है?",समयसार जिनदेव हैं...,चिदानन्द स्वातमरसी...,मंत्र जपो नवकार,"महिमा है, अगम...",1,Hard
'तुम भक्तों को कुछ नहीं देत' - इस पंक्ति का क्या अर्थ है?,प्रभु कंजूस हैं,प्रभु भक्तों की सुनते नहीं,"प्रभु सांसारिक वस्तुएं नहीं देते, बल्कि आत्म-स्वरूप देते हैं",प्रभु के पास देने को कुछ नहीं है,3,Hard
'मुक्तिपुरी है मेरा धाम' - यहाँ 'धाम' का क्या अर्थ है?,घर / निवास स्थान,तीर्थ क्षेत्र,मंदिर,शहर,1,Easy
'झूठ वचन नहिं कहें कदा' - यह कौन सा व्रत है?,अहिंसा,सत्य,अचौर्य,ब्रह्मचर्य,2,Easy
'ममतामय भूत' को भगाने का क्या तात्पर्य है?,भूत-प्रेत भगाना,ममत्व भाव को दूर करना,अतीत को भूल जाना,भविष्य की चिंता करना,2,Medium
'जहाँ-तहाँ तारवे को' कौन है?,गुरु,देव,जिनवाणी,मित्र,3,Medium
'ज्ञान-पयोनिधि माँहि रली' - कौन?,गंगा नदी,यमुना नदी,जिनवाणी रूपी नदी,सरस्वती नदी,3,Medium
'मैं भ्रम्यों अपनपो विसरि आप' - इसका क्या अर्थ है?,मैं रास्ता भटक गया,मैं स्वयं के स्वरूप को भूलकर भटका,मैं मित्रों को भूल गया,मैं घर भूल गया,2,Medium
"'परमारथ तैं आत्मा, एक रूप ही जोय' - यह किस नय का कथन है?",व्यवहार नय,निश्चय नय,उपचरित नय,अनुपचारित नय,2,Hard
'कंचन काया' को कैसा बताया गया है?,नित्य,शाश्वत,लावण्यमयी (किन्तु जड़ की क्रीड़ा),सारभूत,3,Medium
'चलते फिरते सिद्धों' की उपमा किसे दी गई है?,देवों को,शास्त्रों को,गुरुओं को,श्रावकों को,3,Hard
'आकुलता उनका फल पाया' - किसका फल?,समता भाव का,शुभ कर्मों का,रागादि विभाव करने का,दान देने का,3,Medium
किस कविता में 'खाँसी और जुखाम' का अभाव बताया गया है?,शुद्धातम है मेरा नाम,वीतराग सर्वज्ञ...,अति पुण्य उदय...,द्रव्य रूप करि...,1,Easy
'धर्मोन्नति का करें प्रसार' - यह संकल्प किस प्रार्थना में है?,छहढाला,वीतराग सर्वज्ञ हितंकर,देव-शास्त्र-गुरु पूजा,सिद्ध पूजा,2,Medium
'निज ज्ञान कला उर जागी' - यह कब हुआ?,जब प्रभु के पद उर में आये,जब धन मिला,जब नींद खुली,जब सुबह हुई,1,Medium
'छहों द्रव्य जानवे को' कौन समर्थ है?,जिनवाणी,वेद,कुरान,बाइबिल,1,Easy
'ता शुचि-शारद गंगनदी' में 'शारद' कौन है?,एक देवी,सरस्वती (जिनवाणी),शरद ऋतु,एक अप्सरा,2,Medium
'यह लखि निज दु:खगद-हरण-काज' - यह देखकर कवि किसकी शरण में आये?,वैद्य की,जिनेन्द्र की,राजा की,मित्र की,2,Medium
'मिथ्याभाव निवारि' - यह उपदेश किस रचना में है?,छहढाला,देव-शास्त्र-गुरु पूजा,बारह भावना,सिद्ध पूजा,3,Medium
'मैं शांत निराकुल चेतन हूँ' - यह किस अर्घ्य की भावना है?,जल,चन्दन,फल,धूप,3,Medium
'राग धर्ममय धर्म रागमय' मानना क्या है?,सम्यक्त्व,मिथ्यात्व,चारित्र,तप,2,Hard
'मेरा स्वभाव है ज्ञानमयी' - यह भेदज्ञान किसे देखकर हुआ?,गुरु को,सिद्ध प्रभु को,शास्त्र को,स्वयं को,2,Medium
'निज स्वभाव को प्राप्त करेंगे' - यह किसका संकल्प है?,सम्यग्दृष्टि जीव का,मिथ्यादृष्टि जीव का,नारकी का,तिर्यंच का,1,Easy
'पर धन कबहुँ न हरहूँ' - यह कौनसा महाव्रत/अणुव्रत है?,अहिंसा,सत्य,अचौर्य,ब्रह्मचर्य,3,Easy
'आनन्दकन्द जिनेन्द्र बन' - यह भावना किस कवि की है?,दौलतराम,'अमर',युगलजी,भागचंद,2,Hard
'सो पावे सुख चैन' - कौन?,जो धन कमाए,जो तेरी (जिनवाणी की) शरणा गहे,जो राजा बने,जो युद्ध जीते,2,Easy
'जिन-बैन बड़े उपकारी' - यह कौन कहते हैं?,देव,दानव,संत,राजा,3,Medium
'तुम शासन सेय अमेय जीव' कहाँ गए?,स्वर्ग,नरक,शिव (मोक्ष),तीर्थ,3,Medium
'संवरमय है आत्मा' - इसका क्या अर्थ है?,आत्मा संवर का कारण है,आत्मा स्वभाव से आस्रव रहित है,आत्मा में संवर गुण है,आत्मा संवर से बनी है,2,Hard
'मुझको न मिला सुख क्षणभर भी' - कहाँ?,कंचन-कामिनि-प्रासादों में,वन में,मंदिर में,पर्वत पर,1,Easy
'ज्ञानी ध्यानी समरससानी' - यह विशेषण किसके लिए है?,देव,शास्त्र,गुरु,श्रावक,3,Medium
'शुभ कर्मों का फल' क्या बताया गया है? (सिद्ध पूजा के फल अर्घ्य में),मोक्ष,विषय-भोग,आत्म-सुख,निर्जरा,2,Medium
'शुद्धात्म' का काम क्या नहीं है?,जानना,देखना,राग-द्वेष करना,रहना,3,Easy
'ज्ञान भानु' का विलोम क्या है?,ज्ञान चंद्र,मिथ्यातम,सम्यग्ज्ञान,केवलज्ञान,2,Medium
'कुमति विमोह' का नाश किससे हुआ?,धन से,प्रभु के पद उर में आने से,बल से,विद्या से,2,Medium
'परम प्रमानी' का अर्थ क्या है?,बहुत पुरानी,अत्यंत प्रामाणिक,बहुत मीठी,बहुत बड़ी,2,Medium
'जड़ता-तप' का क्या अर्थ है?,अज्ञानता रूपी संताप,गर्मी का मौसम,ठंडी का मौसम,लोहे की कठोरता,1,Hard
'रत्नत्रय-निधि' में क्या शामिल नहीं है?,सम्यग्दर्शन,सम्यग्ज्ञान,सम्यक्चारित्र,सम्यक्तप,4,Medium
'परजय नय करि गौन' का क्या अर्थ है?,पर्याय की दृष्टि को मुख्य करना,पर्याय की दृष्टि को गौण (कम महत्व) देना,पर्याय को देखना,पर्याय को जानना,2,Hard
'अंतर-कालुष' का क्या अर्थ है?,बाहरी मैल,हृदय की कालिमा/पाप,काला रंग,अंधेरा,2,Medium
'समरससानी' चर्या का क्या अर्थ है?,नीरस चर्या,समता रस में डूबी हुई चर्या,स्वादिष्ट चर्या,कठिन चर्या,2,Hard
'मनसिज' किसका पर्यायवाची है?,क्रोध,मान,माया,कामदेव,4,Medium
'स्वपर-भेद विज्ञान' का फल क्या है?,राग-द्वेष का त्याग,धन की प्राप्ति,यश की वृद्धि,रोग का नाश,1,Medium
'सुखद रीति' का प्रचार क्यों करना चाहिए?,धर्मोन्नति के लिए,व्यापार के लिए,दिखावे के लिए,लड़ाई के लिए,1,Medium
'तप तपूं द्वादश विधि' - यह किसकी चर्या है?,श्रावक की,मुनि की,देव की,नारकी की,2,Medium
'लोकालोक' का ज्ञान किससे होता है?,इंद्रियों से,मन से,जिनवाणी से,अनुमान से,3,Medium
'वीर-हिमाचल' में 'वीर' कौन हैं?,महावीर स्वामी,गौतम गणधर,भरत चक्रवर्ती,कोई वीर योद्धा,1,Medium
'दु:खगद-हरण-काज' में 'गद' का क्या अर्थ है?,गधा,रोग,गदा (हथियार),बादल,2,Hard
"'निर्मल अपनी आत्मा, देह अपावन गेह' - यह किस भावना का चिंतन है?",अनित्य,अशरण,अशुचि,अन्यत्व,3,Easy
'यह मोह तड़क कर टूट पड़े' - यह किस अर्घ्य का फल है?,जल,चन्दन,पुष्प,फल,4,Medium
'मिथ्यात्व' किसे कहा गया है?,वीतरागता में धर्म मानना,राग भाव में धर्म मानना,दान देना,पूजा करना,2,Hard
'अखण्ड चिद्रूपपिण्ड चण्ड' - यह किसका स्वरूप है?,शरीर का,कर्म का,आत्मा का,पुद्गल का,3,Hard
'आधि व्याधि का नाम नहीं है' - कहाँ?,संसार में,स्वर्ग में,मुक्तिपुरी में,नरक में,3,Easy
'अष्ट करम' किसके हेतु हैं?,सुख के,दुःख के,मोक्ष के,ज्ञान के,2,Easy
'ममतामय भूत' को भगाकर क्या धारण करने की इच्छा है?,सुंदर वस्त्र,मुनिव्रत,राजपद,धन,2,Medium
'आपा-पर भासवे को' कौन है?,चन्द्रमा,दीपक,जिनवाणी (भानु-सी),तारे,3,Medium
'पदारथ-पाँति' को कौन प्रकाशित करता है?,सूर्य,दीपक,श्रीजिन की धुनि,टॉर्च,3,Medium
'भव-सागर' से तारने के लिए जिनेन्द्र किसके समान हैं?,तैराक,जिहाज,पुल,रस्सी,2,Medium
'मोह निमित्त विकलप घने' - यह किस रचना का अंश है?,छहढाला,बारह भावना,देव-शास्त्र-गुरु पूजा,सिद्ध पूजा,2,Medium
'समतारस पान किया करते' - कौन?,देव,श्रावक,गुरु (मुनि),राजा,3,Medium
'गुरु चारित्र की खानि हैं' - यह किस पद का अंत है?,समयसार जिनदेव हैं...,चिदानन्द स्वातमरसी...,मंत्र जपो नवकार,"महिमा है, अगम...",1,Medium
'तुम हो अनन्त चैतन्य-रूप' - यह किसके लिए कहा गया है?,अरिहंत,सिद्ध,आचार्य,साधु,2,Easy
किस कविता के अनुसार साधक 'बिना छना जल' काम में नहीं लेते?,शुद्धातम है मेरा नाम,वीतराग सर्वज्ञ...,अति पुण्य उदय...,द्रव्य रूप करि...,1,Easy
'वीतराग सर्वज्ञ हितंकर' प्रार्थना में 'आत्म बल' की वृद्धि के लिए क्या न त्यागने को कहा है?,धन,घर,न्याय मार्ग,भोजन,3,Medium
'निज आतम का ध्यान धरेंगे' - यह किस भजन का अंश है?,शुद्धातम है मेरा नाम,वीतराग सर्वज्ञ...,अति पुण्य उदय...,द्रव्य रूप करि...,1,Easy
'तोहि जपों दिन रैन' - यहाँ 'तोहि' शब्द किसके लिए आया है?,देव,गुरु,जिनवाणी भारती,भक्त,3,Easy
'गुरु-गौतम के मुख-कुण्ड' से क्या ढरी (गिरी)?,अमृत,जल,जिनवाणी रूपी नदी,दूध,3,Medium
"'मेरे न चाह कछु और ईश, रत्नत्रय-निधि दीजे मुनीश' - यह किस स्तुति की याचना है?",छहढाला,देव-शास्त्र-गुरु पूजा,सिद्ध पूजा,बारह भावना,1,Hard
'देह अपावन गेह' - यह किस भावना का चिंतन है?,अनित्य,अशरण,अशुचि,एकत्व,3,Easy
'त्रुटिपूर्ण' वाक्य को सही करें: 'जड़ चेतन की सब परिणति प्रभु! ईश्वर की इच्छा से होती है।',अपने-अपने में होती है,कर्म से होती है,भाग्य से होती है,काल से होती है,1,Hard
'जिनकी चर्या समरससानी' - यह विशेषण किसके लिए है?,देव,शास्त्र,गुरु,श्रावक,3,Medium
'मेरा स्वभाव है ज्ञानमयी' - यह भेदज्ञान किस पूजा का अंश है?,देव-शास्त्र-गुरु पूजा (दीप अर्घ्य),सिद्धचक्र पूजा (दीप अर्घ्य),शांतिनाथ पूजा,महावीर पूजा,2,Hard
"'भक्त नहीं, भगवान बनेंगे' - यह पंक्ति किस सिद्धांत पर आधारित है?",प्रत्येक आत्मा में परमात्मा बनने की शक्ति है (निश्चय नय),भक्ति ही श्रेष्ठ है,भगवान और भक्त एक हैं,भगवान बनना असंभव है,1,Hard
'अचल जिमी सदा अटल' - यहाँ 'जिमी' का अर्थ क्या है?,आकाश,वायु,पृथ्वी,जल,3,Hard
'नूतन कर्म' को रोकने की क्रिया को क्या कहते हैं?,बंध,उदय,संवर,निर्जरा,3,Medium
"'जो तेरी शरणा गहै, सो पावे सुख चैन' - यह किस स्तुति का दोहा है?",वीर-हिमाचल...,मिथ्यातम नाशवे को...,हे जिनवाणी माता...,"महिमा है, अगम...",2,Easy
"'जग-मन्दिर में अनिवार, अज्ञान-अंधेर' - इसे कौन दूर करता है?",सूर्य,चन्द्रमा,श्रीजिन की धुनि,दीपक,3,Medium
"'तुमको बिन जाने जो कलेश, पायो सो तुम जानत जिनेश' - यह पंक्ति क्या दर्शाती है?",जिनेन्द्र की सर्वज्ञता,जिनेन्द्र की अज्ञानता,कवि का ज्ञान,कवि का सुख,1,Medium
'परतैं ममत न थाय' - यह कब होता है?,"जब सर्व वस्तु अपने सत्त्व में विलास करती हैं, ऐसा जानते हैं",जब धन नष्ट होता है,जब रोग आता है,जब मित्र धोखा देता है,1,Hard
'जड़ पर झुक-झुक जाता चेतन' - यह किस अर्घ्य का भाव है?,जल,चन्दन,अक्षत,पुष्प,3,Medium
'आगम सम्यग्ज्ञान' - यह किस पद का अंश है?,समयसार जिनदेव हैं...,चिदानन्द स्वातमरसी...,मंत्र जपो नवकार,"महिमा है, अगम...",1,Medium
'ज्ञानमात्र ज्ञायक-स्वरूप' - यह किसका लक्षण है?,पुद्गल का,धर्म द्रव्य का,सिद्ध भगवान/शुद्ध आत्मा का,काल द्रव्य का,3,Medium
"रात्रि भोजन का त्याग करना, किस गुण में शामिल है?",मुनि के मूलगुण,श्रावक के अणुव्रत,देवों के गुण,नारकी के लक्षण,2,Easy
"'अष्ट करम जो दुख हेतु हैं, तिनके क्षय का करें उपाय' - यह किस मार्ग की शिक्षा है?",संवर-निर्जरा,आस्रव-बंध,पुण्य-पाप,देव-गुरु,1,Medium
'दो-बीस परिषह' सहना किसका द्योतक है?,कायरता का,प्रचंड पुरुषार्थ और समता का,मजबूरी का,दिखावे का,2,Hard
"'स्व-पर पिछानवे को, परम प्रमानी है' - कौन?",गुरु,देव,जिनवाणी,आत्मा,3,Medium
'मोह-महाचल' को भेदना किसका कार्य बताया गया है?,राम का,कृष्ण का,जिनवाणी का,अर्जुन का,3,Medium
"'पीवत पीयूष ज्यों रोग जाय, त्यों तुम अनुभवतैं भव नशाय' - इसमें 'पीयूष' क्या है?",विष,अमृत,जल,दूध,2,Hard
'दर्श-ज्ञानमय चेतना' किसका स्वभाव है?,पुद्गल का,कर्म का,आत्मा का,आकाश का,3,Easy
'यह झूठी मन की वृत्ति है' - क्या?,पदार्थों को अनुकूल-प्रतिकूल कहना,आत्मा को जानना,कर्म को मानना,दान देना,1,Hard
'वीतरागता की पोषक ही जिनवाणी कहलाती है' - यह कथन क्या सिद्ध करता है?,जिनवाणी का मुख्य उद्देश्य वीतरागता है,जिनवाणी में राग की कथा है,जिनवाणी से द्वेष होता है,जिनवाणी संसार बढ़ाती है,1,Hard
'तुम पर के कर्त्ता नहीं नाथ' - यह ज्ञान होने का फल क्या है?,अकर्ता बुद्धि का प्रगट होना,कर्ता बुद्धि का बढ़ना,संसार में रुचि बढ़ना,धन की प्राप्ति होना,1,Medium
'पूर्ण विश्राम' कहाँ मिलता है?,स्वर्ग में,मुक्तिपुरी में,देवलोक में,मनुष्य लोक में,2,Easy
'न्याय मार्ग' पर चलने से किसकी वृद्धि होती है?,धन की,यश की,निज आतम बल की,परिवार की,3,Medium
'संचित कर्म रिपुकों निर्जरूँ' - यहाँ 'निर्जरूँ' का क्या अर्थ है?,नाश करूँ / खिरना,जोड़ना,देखना,जानना,1,Medium
'भव्य उर आनी है' - कौन?,माया,लक्ष्मी,जिनवाणी,चिंता,3,Medium
'पदारथ-पाँति' का क्या अर्थ है?,पदार्थ की पंक्ति / समूह,पके हुए रथ,गिरे हुए पत्ते,पदार्थ का पति,1,Hard
"'त्रिभुवन तिहुँकाल मँझार कोय, नहिं तुम बिन निज सुखदाय होय' - यह निश्चय किस स्तोत्र में व्यक्त हुआ है?",छहढाला,देव-शास्त्र-गुरु पूजा,सिद्ध पूजा,बारह भावना,1,Medium
'आन कल्पना' का कारण क्या है?,ज्ञान का उदय,मोह का उदय,चारित्र का उदय,वीर्य का उदय,2,Medium
